"item_id","item_name","publisher","genres","url","tags","sentiment","metascore","specs","price","release_date"
"0","Counter-Strike","Valve","['Action']","http://store.steampowered.com/app/10/CounterStrike/","['Action', 'FPS', 'Multiplayer', 'Shooter', 'Classic', 'Team-Based', 'Competitive', 'First-Person', 'Tactical', ""1990's"", 'e-sports', 'PvP', 'Military', 'Strategy', 'Score Attack', 'Survival', 'Assassin', '1980s', 'Ninja', 'Tower Defense']","Overwhelmingly Positive","88","['Multi-player', 'Valve Anti-Cheat enabled']","9.99","2000-11-01"
"1","Rag Doll Kung Fu","Mark Healey","['Indie']","http://store.steampowered.com/app/1002/Rag_Doll_Kung_Fu/","['Indie', 'Fighting', 'Multiplayer']","Mixed","69","['Single-player', 'Multi-player']","9.99","2005-10-12"
"2","Silo 2","Nevercenter Ltd. Co.","['Animation &amp; Modeling']","http://store.steampowered.com/app/100400/Silo_2/","['Animation & Modeling', 'Software']","Mostly Positive","","","99.99","2012-12-19"
"3","Call of Duty: World at War","Activision","['Action']","http://store.steampowered.com/app/10090/Call_of_Duty_World_at_War/","['Zombies', 'World War II', 'FPS', 'Action', 'Multiplayer', 'Shooter', 'Moddable', 'Co-op', 'First-Person', 'Singleplayer', 'War', 'Online Co-Op', 'Gore', 'Historical', 'Survival', 'Classic', 'Tanks', 'Great Soundtrack', 'Adventure', 'Horror']","Very Positive","83","['Single-player', 'Multi-player', 'Co-op']","19.99","2008-11-18"
"4","3D-Coat V4.8","Pilgway","['Animation &amp; Modeling']","http://store.steampowered.com/app/100980/3DCoat_V48/","['Animation & Modeling']","Very Positive","","['Steam Cloud']","99.99","2012-10-02"
"5","King's Quest™ Collection","Activision","['Adventure']","http://store.steampowered.com/app/10100/Kings_Quest_Collection/","['Adventure', 'Point & Click', 'Classic', 'Fantasy', 'Retro', 'Pixel Graphics', ""1990's"", '1980s', 'Female Protagonist']","Mostly Positive","","['Single-player']","19.99","2006-09-01"
"6","Space Quest™ Collection","Activision","['Adventure']","http://store.steampowered.com/app/10110/Space_Quest_Collection/","['Adventure', 'Point & Click', 'Classic', 'Comedy', 'Sci-fi', 'Space', 'Retro', 'Pixel Graphics', ""1990's"", '1980s', 'Third Person']","Mostly Positive","","['Single-player']","19.99","2006-09-01"
"7","Aces of the Galaxy™","Activision","['Action', 'Casual']","http://store.steampowered.com/app/10120/Aces_of_the_Galaxy/","['Action', 'Casual', 'Space', 'On-Rails Shooter']","Mixed","","['Single-player']","9.99","2008-06-04"
"8","TimeShift™","Activision","['Action']","http://store.steampowered.com/app/10130/TimeShift/","['Action', 'FPS', 'Time Manipulation', 'Sci-fi', 'First-Person', 'Shooter', 'Atmospheric', 'Singleplayer', 'Bullet Time', 'Multiplayer', 'Classic', 'Futuristic', 'Time Travel']","Mostly Positive","71","['Single-player', 'Multi-player']","19.99","2007-10-30"
"9","3D Ultra™ Minigolf Adventures","Activision","['Sports']","http://store.steampowered.com/app/10140/3D_Ultra_Minigolf_Adventures/","['Sports', 'Mini Golf', 'Golf', 'Local Multiplayer']","Mostly Positive","NA","['Single-player']","9.99","2006-12-20"
"10","Prototype™","Activision","['Action', 'Adventure']","http://store.steampowered.com/app/10150/Prototype/","['Action', 'Open World', 'Adventure', 'Third Person', 'Gore', 'Singleplayer', 'Parkour', 'Superhero', 'Zombies', 'Hack and Slash', 'Action-Adventure', 'Violent', 'Sci-fi', 'Sandbox', 'Story Rich', 'Stealth', 'RPG', 'Atmospheric', 'Controller', 'Horror']","Very Positive","79","['Single-player']","19.99","2009-06-10"
"11","Call of Duty®: Modern Warfare® 2","Activision, Aspyr (Mac)","['Action']","http://store.steampowered.com/app/10180/Call_of_Duty_Modern_Warfare_2/","['Action', 'FPS', 'Multiplayer', 'Shooter', 'First-Person', 'Singleplayer', 'War', 'Co-op', 'Military', 'Online Co-Op', 'PvP', 'Great Soundtrack', 'Adventure', 'Story Rich', 'Atmospheric', 'Linear', 'Tactical', 'Strategy', 'Moddable', 'Zombies']","Very Positive","86","['Single-player', 'Multi-player', 'Co-op', 'Steam Achievements', 'Steam Cloud', 'Valve Anti-Cheat enabled']","19.99","2009-11-12"
"12","Postal III","Akella","['Action']","http://store.steampowered.com/app/10220/Postal_III/","['Action', 'Dark Humor', 'Gore', 'Open World', 'Third-Person Shooter', 'Funny', 'Violent', 'Third Person', 'Comedy', 'Shooter', 'Singleplayer', 'Sandbox', 'Mature', 'Adventure', 'Nudity', 'FPS', 'Great Soundtrack', 'Indie', 'Story Rich', 'First-Person']","Mostly Negative","24","['Single-player', 'Steam Achievements']","11.99","2011-12-21"
"13","Runespell: Overture","Mystic Box","['Adventure', 'Indie', 'RPG']","http://store.steampowered.com/app/102200/Runespell_Overture/","['Card Game', 'RPG', 'Indie', 'Casual', 'Adventure', 'Fantasy', 'Singleplayer']","Mostly Positive","69","['Single-player', 'Steam Achievements', 'Steam Cloud', 'Stats', 'Steam Leaderboards']","9.99","2011-07-20"
"14","Dead Mountaineer's Hotel","Akella","['Adventure']","http://store.steampowered.com/app/10230/Dead_Mountaineers_Hotel/","['Adventure', 'Point & Click']","Mostly Negative","","['Single-player']","7.99","2009-11-27"
"15","A Stroke of Fate: Operation Valkyrie","Akella","['Adventure']","http://store.steampowered.com/app/10240/A_Stroke_of_Fate_Operation_Valkyrie/","['Adventure', 'Point & Click']","Mixed","","['Single-player']","6.99","2009-02-13"
"16","Vertex Dispenser","Michael Brough","['Action', 'Indie', 'Strategy']","http://store.steampowered.com/app/102400/Vertex_Dispenser/","['Strategy', 'Action', 'Indie']","7 user reviews","70","['Single-player', 'Multi-player', 'Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Cloud', 'Stats']","9.99","2011-06-10"
"17","PT Boats: Knights of the Sea","Akella","['Simulation']","http://store.steampowered.com/app/10250/PT_Boats_Knights_of_the_Sea/","['Simulation']","Mixed","","['Single-player', 'Multi-player']","6.99","2009-01-30"
"18","Kingdoms of Amalur: Reckoning™","38 Studios, Electronic Arts","['Action', 'RPG']","http://store.steampowered.com/app/102500/Kingdoms_of_Amalur_Reckoning/","['RPG', 'Fantasy', 'Open World', 'Singleplayer', 'Action RPG', 'Action', 'Adventure', 'Third Person', 'Loot', 'Story Rich', 'Magic', 'Character Customization', 'Hack and Slash', 'Exploration', 'Sandbox', 'Controller', 'Crafting', 'Atmospheric', 'Female Protagonist', 'Great Soundtrack']","Very Positive","81","['Single-player', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud']","19.99","2012-02-07"
"19","PT Boats: South Gambit","Akella","['Simulation']","http://store.steampowered.com/app/10260/PT_Boats_South_Gambit/","['Simulation', 'Naval']","Mostly Negative","","['Single-player', 'Multi-player']","6.99","2010-12-10"
"20","Orcs Must Die!","Robot Entertainment","['Action', 'Indie', 'Strategy']","http://store.steampowered.com/app/102600/Orcs_Must_Die/","['Tower Defense', 'Action', 'Strategy', 'Third Person', 'Indie', 'Fantasy', 'Singleplayer', 'Comedy', 'Third-Person Shooter', 'Funny', 'Cartoony', 'Magic', 'Score Attack', 'Great Soundtrack', 'Shooter', 'Multiplayer', 'RPG', 'Adventure', 'Arcade', 'Co-op']","Overwhelmingly Positive","83","['Single-player', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud', 'Stats', 'Steam Leaderboards']","9.99","2011-10-11"
"21","Disciples III: Reincarnation","bitComposer Games","['RPG', 'Strategy']","http://store.steampowered.com/app/10270/Disciples_III_Reincarnation/","['RPG', 'Turn-Based Strategy', 'Strategy', 'Turn-Based', 'Fantasy', 'Dark Fantasy', 'Singleplayer', 'Multiplayer', 'Gothic']","Mixed","","['Single-player', 'Multi-player']","9.99","2014-02-14"
"22","A.V.A. Alliance of Valiant Arms™","En Masse Entertainment","['Action', 'Free to Play']","http://store.steampowered.com/app/102700/AVA_Alliance_of_Valiant_Arms/","['Free to Play', 'FPS', 'Action', 'Multiplayer', 'Shooter', 'Zombies', 'First-Person', 'Co-op', 'Massively Multiplayer', 'Singleplayer', 'Online Co-Op', 'Survival', 'Adventure', 'Open World', 'Strategy', 'Funny', 'Military', 'Gore', 'Horror', 'Controller']","Mixed","","['Multi-player', 'Online Multi-Player', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Steam Trading Cards']","Free to Play","2011-06-14"
"23","Gatling Gears","Vanguard Games","['Action', 'Adventure', 'Indie']","http://store.steampowered.com/app/102810/Gatling_Gears/","['Action', 'Adventure', 'Indie', 'Twin Stick Shooter', 'Co-op', 'Steampunk']","Very Positive","","['Single-player', 'Multi-player', 'Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud', 'Steam Leaderboards']","9.99","2011-08-30"
"24","Shank 2","Klei Entertainment","['Action', 'Adventure', 'Indie']","http://store.steampowered.com/app/102840/Shank_2/","['Action', ""Beat 'em up"", 'Indie', 'Adventure', '2D', 'Local Co-Op', 'Side Scroller', 'Platformer', 'Co-op', 'Gore', 'Hack and Slash', 'Stylized', 'Mature', 'Shooter', 'Controller', 'Singleplayer', 'Difficult']","Very Positive","72","['Single-player', 'Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards']","9.99","2012-02-07"
"25","Warp","Electronic Arts","['Action', 'Adventure', 'Indie']","http://store.steampowered.com/app/102850/Warp/","['Action', 'Adventure', 'Indie', 'Puzzle', 'Stealth', 'Aliens']","Mostly Positive","","['Single-player', 'Partial Controller Support']","9.99","2012-03-21"
"26","iBomber Defense","Cobra Mobile","['Indie', 'Strategy']","http://store.steampowered.com/app/104000/iBomber_Defense/","['Strategy', 'Tower Defense', 'Indie', 'Casual']","Mostly Positive","","['Single-player', 'Steam Achievements', 'Steam Cloud']","4.99","2011-05-26"
"27","Storm in a Teacup","Cobra Mobile","['Casual', 'Indie']","http://store.steampowered.com/app/104020/Storm_in_a_Teacup/","['Indie', 'Casual', 'Platformer']","Very Positive","","['Single-player', 'Steam Achievements']","4.99","2012-01-19"
"28","BEEP","Big Fat Alien","['Adventure', 'Indie']","http://store.steampowered.com/app/104200/BEEP/","['Indie', 'Platformer', 'Adventure', 'Puzzle', 'Singleplayer', 'Physics', '2D', 'Action', 'Strategy', ""Shoot 'Em Up"", 'Great Soundtrack', 'Difficult', 'Casual', 'Anime', 'Shooter', 'Family Friendly', 'Sci-fi', 'Exploration', 'Open World', 'Comedy']","Very Positive","","['Single-player', 'Steam Trading Cards']","1.99","2011-05-06"
"29","The Club™","SEGA","['Action']","http://store.steampowered.com/app/10460/The_Club/","['Action', 'Third-Person Shooter']","Mixed","67","['Single-player', 'Multi-player', 'Partial Controller Support']","14.99","2008-02-20"
"30","Portal 2 - The Final Hours","Geoff Keighley","","http://store.steampowered.com/app/104600/Portal_2__The_Final_Hours/","['Documentary', 'Singleplayer']","Very Positive","","['Single-player']","1.99","2011-05-17"
"31","Super MNC","Uber Entertainment","['Free to Play', 'Action', 'Strategy', 'Indie', 'Sports']","http://store.steampowered.com/app/104700/Super_MNC/","['Free to Play', 'Action', 'Multiplayer', 'MOBA', 'Shooter', 'Third-Person Shooter', 'Strategy', 'Funny', 'Indie', 'Sports', 'Competitive', 'Character Customization', 'Massively Multiplayer', 'Co-op', 'Third Person', 'First-Person', 'Comedy', 'Adventure', 'Class-Based', 'Singleplayer']","Mixed","76","['Multi-player', 'Partial Controller Support', 'Stats', 'Steam Leaderboards']","Free to Play","2012-04-19"
"32","ORION: Prelude","Trek Industries, Inc","['Action', 'Adventure', 'Indie', 'RPG']","http://store.steampowered.com/app/104900/ORION_Prelude/","['Dinosaurs', 'Action', 'FPS', 'Multiplayer', 'Online Co-Op', 'Co-op', 'Shooter', 'Indie', 'Adventure', 'Open World', 'Sci-fi', 'First-Person', 'Team-Based', 'Third-Person Shooter', 'Singleplayer', 'Mechs', 'PvP', 'Strategy', 'Third Person', 'Rogue-like']","Mostly Positive","","['Single-player', 'Multi-player', 'Online Multi-Player', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'Valve Anti-Cheat enabled', 'Stats', 'Steam Leaderboards', 'Includes level editor']","0.99","2013-04-16"
"33","Empire: Total War™","SEGA, Feral Interactive (Mac), Feral Interactive (Linux)","['Strategy']","http://store.steampowered.com/app/10500/Empire_Total_War/","['Strategy', 'Historical', 'Military', 'Grand Strategy', 'Turn-Based Strategy', 'War', 'Tactical', 'RTS', 'Multiplayer', 'Singleplayer', 'Turn-Based', 'America', 'Naval', 'Great Soundtrack', 'Action', 'Turn-Based Tactics', 'Real Time Tactics', 'Atmospheric', 'Adventure', 'Classic']","Very Positive","90","['Single-player', 'Multi-player', 'Steam Achievements', 'Steam Trading Cards', 'Stats']","19.99","2009-03-03"
"34","A New Beginning - Final Cut","Daedalic Entertainment","['Adventure', 'Indie']","http://store.steampowered.com/app/105000/A_New_Beginning__Final_Cut/","['Adventure', 'Point & Click', 'Indie', 'Sci-fi', 'Post-apocalyptic', 'Hand-drawn', 'Singleplayer', 'Puzzle', 'Female Protagonist', 'Story Rich', '2D']","Mostly Positive","72","['Single-player', 'Steam Achievements']","9.99","2012-12-11"
"35","Lume","State of Play Games","['Adventure', 'Casual', 'Indie']","http://store.steampowered.com/app/105100/Lume/","['Adventure', 'Indie', 'Point & Click', 'Casual', 'Puzzle', 'Short', 'Female Protagonist', 'Singleplayer']","Mixed","69","['Single-player']","5.99","2011-05-09"
"36","Critical Mass","Manic Game Studios","['Casual', 'Indie']","http://store.steampowered.com/app/105300/Critical_Mass/","['Casual', 'Indie', 'Puzzle', 'Singleplayer', 'Match 3']","Very Positive","81","['Single-player', 'Steam Achievements']","1.99","2011-06-20"
"37","Ms. Splosion Man","Microsoft Studios","['Action', 'Indie']","http://store.steampowered.com/app/105420/Ms_Splosion_Man/","['Indie', 'Action', 'Platformer', 'Female Protagonist', 'Co-op', 'Local Co-Op', 'Comedy']","Very Positive","","['Single-player', 'Multi-player', 'Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Partial Controller Support', 'Steam Cloud', 'Steam Leaderboards']","9.99","2013-04-03"
"38","Age of Empires® III: Complete Collection","Microsoft Studios","['Simulation', 'Strategy']","http://store.steampowered.com/app/105450/Age_of_Empires_III_Complete_Collection/","['Strategy', 'RTS', 'Base Building', 'Historical', 'Multiplayer', 'Resource Management', 'City Builder', 'War', 'Simulation', 'Real-Time', 'Singleplayer', 'Classic', 'Military', 'Building', 'Open World', 'Action', 'Co-op', 'Real-Time with Pause', 'Adventure', 'Online Co-Op']","Very Positive","81","['Single-player', 'Multi-player', 'Steam Trading Cards']","39.99","2009-09-15"
"39","Terraria","Re-Logic","['Action', 'Adventure', 'Indie', 'RPG']","http://store.steampowered.com/app/105600/Terraria/","['Sandbox', 'Adventure', 'Survival', '2D', 'Multiplayer', 'Crafting', 'Building', 'Exploration', 'Pixel Graphics', 'Co-op', 'Indie', 'Open World', 'Action', 'RPG', 'Online Co-Op', 'Singleplayer', 'Platformer', 'Replay Value', 'Atmospheric', 'Family Friendly']","Overwhelmingly Positive","83","['Single-player', 'Multi-player', 'Online Multi-Player', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']","9.99","2011-05-16"
"40","Tobe's Vertical Adventure","Secret Base","['Action', 'Adventure', 'Indie']","http://store.steampowered.com/app/105700/Tobes_Vertical_Adventure/","['Indie', 'Action', 'Adventure', 'Platformer', 'Local Co-Op', 'Retro']","Mostly Positive","75","['Single-player', 'Shared/Split Screen', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud', 'Steam Leaderboards']","0.99","2011-07-18"
"41","PixelJunk™ Eden","Q-Games Ltd.","['Action', 'Casual', 'Indie']","http://store.steampowered.com/app/105800/PixelJunk_Eden/","['Casual', 'Indie', 'Platformer', 'Great Soundtrack', 'Action', 'Atmospheric', 'Music', 'Colorful', 'Singleplayer', '2D', 'Relaxing', 'Pixel Graphics']","Very Positive","81","['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards']","9.99","2012-02-02"
"42","Aliens vs. Predator™","SEGA","['Action']","http://store.steampowered.com/app/10680/Aliens_vs_Predator/","['Action', 'FPS', 'Aliens', 'Sci-fi', 'Multiplayer', 'Horror', 'Shooter', 'Singleplayer', 'First-Person', 'Stealth', 'Gore', 'Survival', 'Atmospheric', 'Co-op', 'Survival Horror', 'Hunting', 'Blood', 'Adventure', 'Online Co-Op', 'Strategy']","Very Positive","68","['Single-player', 'Multi-player', 'Co-op', 'Steam Achievements', 'Steam Cloud', 'Stats', 'Steam Leaderboards']","14.99","2010-02-16"
"43","Bastion","Warner Bros. Interactive Entertainment","['Action', 'Indie', 'RPG']","http://store.steampowered.com/app/107100/Bastion/","['Great Soundtrack', 'Indie', 'Action', 'Narration', 'Singleplayer', 'RPG', 'Hack and Slash', 'Story Rich', 'Dynamic Narration', 'Isometric', 'Adventure', 'Action RPG', 'Fantasy', 'Atmospheric', 'Colorful', 'Post-apocalyptic', 'Twin Stick Shooter', '2D', 'Controller', 'Music']","Overwhelmingly Positive","86","['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards']","14.99","2011-08-16"
